date,treatment,tunnel,plant ID,crown no.,vampiri no.,leaf no.,inflorescence no.,flower no.,fruit no.,petiole length mean (cm)
27/03/2025,shaded,S1,1,3,1,11,,,,8.055555556
27/03/2025,shaded,S1,2,1,1,5,,,,9.26
27/03/2025,shaded,S1,3,3,6,16,,,,8.621428571
27/03/2025,shaded,S1,4,3,1,9,,,,5.788888889
27/03/2025,shaded,S1,5,2,1,10,,,,6.91
27/03/2025,shaded,S2,1,4,0,8,,,,7.744444444
27/03/2025,shaded,S2,2,2,0,5,,,,9.2
27/03/2025,shaded,S2,3,3,2,14,,,,8.258333333
27/03/2025,shaded,S2,4,3,2,12,,,,8.8
27/03/2025,shaded,S2,5,1,1,9,,,,6.625
27/03/2025,shaded,S3,1,2,4,15,,,,8.309090909
27/03/2025,shaded,S3,2,2,0,10,,,,8.65
27/03/2025,shaded,S3,3,3,4,16,,,,9.96
27/03/2025,shaded,S3,4,3,1,11,,,,8.2
27/03/2025,shaded,S3,5,3,0,12,,,,7.454545455
27/03/2025,control,C1,1,3,4,18,,,,10.65714286
27/03/2025,control,C1,2,4,2,14,,,,9.783333333
27/03/2025,control,C1,3,4,4,20,,,,7.7
27/03/2025,control,C1,4,3,2,12,,,,9.225
27/03/2025,control,C1,5,3,1,11,,,,9.554545455
27/03/2025,control,C2,1,3,3,15,,,,9.208333333
27/03/2025,control,C2,2,3,2,10,,,,10
27/03/2025,control,C2,3,4,0,13,,,,10.425
27/03/2025,control,C2,4,7,0,20,,,,8.733333333
27/03/2025,control,C2,5,4,1,11,,,,8.04
27/03/2025,control,C3,1,3,0,11,,,,10.25
27/03/2025,control,C3,2,4,3,16,,,,11.47692308
27/03/2025,control,C3,3,6,0,13,,,,10.39333333
27/03/2025,control,C3,4,3,1,13,,,,9.084615385
27/03/2025,control,C3,5,3,0,9,,,,8.511111111
10/04/2025,shaded,S1,1,,,14,,,,12.32857143
10/04/2025,shaded,S1,2,,,8,,,,16.19090909
10/04/2025,shaded,S1,3,,,29,,,,15.8047619
10/04/2025,shaded,S1,4,,,12,,,,14.75
10/04/2025,shaded,S1,5,,,10,,,,13.95555556
10/04/2025,shaded,S2,1,,,12,,,,15.175
10/04/2025,shaded,S2,2,,,7,,,,14.9875
10/04/2025,shaded,S2,3,,,21,,,,13.17333333
10/04/2025,shaded,S2,4,,,16,,,,14.75882353
10/04/2025,shaded,S2,5,,,12,,,,12.08888889
10/04/2025,shaded,S3,1,,,16,,,,14.48333333
10/04/2025,shaded,S3,2,,,14,,,,13.74
10/04/2025,shaded,S3,3,,,22,,,,15.11428571
10/04/2025,shaded,S3,4,,,17,,,,15.32857143
10/04/2025,shaded,S3,5,,,16,,,,12.9
10/04/2025,control,C1,1,,,24,,,,16.03636364
10/04/2025,control,C1,2,,,22,,,,14.93684211
10/04/2025,control,C1,3,,,23,,,,13.75714286
10/04/2025,control,C1,4,,,18,,,,16.3
10/04/2025,control,C1,5,,,16,,,,16.51428571
10/04/2025,control,C2,1,,,22,,,,15.12
10/04/2025,control,C2,2,,,19,,,,17.44375
10/04/2025,control,C2,3,,,21,,,,16.04375
10/04/2025,control,C2,4,,,28,,,,13.92272727
10/04/2025,control,C2,5,,,18,,,,13.53333333
10/04/2025,control,C3,1,,,16,,,,13.97142857
10/04/2025,control,C3,2,,,20,,,,16.375
10/04/2025,control,C3,3,,,22,,,,15.705
10/04/2025,control,C3,4,,,20,,,,13.65625
10/04/2025,control,C3,5,,,12,,,,13.49090909
23/04/2025,shaded,S1,1,,,21,3,5,,21.47083333
23/04/2025,shaded,S1,2,,,14,2,3,,23.17272727
23/04/2025,shaded,S1,3,,,40,10,4,,23.96428571
23/04/2025,shaded,S1,4,,,23,4,5,,24.85
23/04/2025,shaded,S1,5,,,19,3,6,,23.58888889
23/04/2025,shaded,S2,1,,,21,5,4,,21.975
23/04/2025,shaded,S2,2,,,14,2,6,,25.64545455
23/04/2025,shaded,S2,3,,,26,4,10,,23.08125
23/04/2025,shaded,S2,4,,,28,7,10,,26.38823529
23/04/2025,shaded,S2,5,,,17,2,6,,25.61538462
